iter	Passed	Remaining
0	1	160
1	3	181
2	5	183
3	8	194
4	10	200
5	12	190
6	13	175
7	14	170
8	15	160
9	18	164
10	19	159
11	21	157
12	22	150
13	23	146
14	24	140
15	25	135
16	26	130
17	27	126
18	30	129
19	31	126
20	32	123
21	33	120
22	35	117
23	36	114
24	37	112
25	38	109
26	39	108
27	43	111
28	44	108
29	45	106
30	46	104
31	47	101
32	49	100
33	51	99
34	52	98
35	54	96
36	55	93
37	56	91
38	57	89
39	58	87
40	59	85
41	59	82
42	60	80
43	61	78
44	62	76
45	63	74
46	64	73
47	66	71
48	67	70
49	68	68
50	69	66
51	70	64
52	71	63
53	72	61
54	73	59
55	73	58
56	74	56
57	76	55
58	77	53
59	78	52
60	79	51
61	81	49
62	82	48
63	83	47
64	85	45
65	86	44
66	87	42
67	88	41
68	89	40
69	90	38
70	91	37
71	92	35
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	98	27
78	99	26
79	101	25
80	102	24
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	109	14
88	110	13
89	111	12
90	113	11
91	114	9
92	115	8
93	116	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	122	0
